species,country,sum_gsv_scaled
Alepisaurus ferox,Russia,0.49380424467185546
Alepisaurus ferox,Slovenia,NA
Alepisaurus ferox,Spain,0.5619988926042301
Alepisaurus ferox,Syria,NA
Alepisaurus ferox,Tunisia,NA
Alepisaurus ferox,Turkey,NA
Alepisaurus ferox,Ukraine,1.8632693955510804
Alepocephalus rostratus,Albania,55.8787507950368
Alepocephalus rostratus,Algeria,NA
Alepocephalus rostratus,Bosnia and Herzegovina,18.6286484725096
Alepocephalus rostratus,Bulgaria,NA
Alepocephalus rostratus,Croatia,12.099233798611838
Alepocephalus rostratus,Cyprus,44.54242223739899
Alepocephalus rostratus,Egypt,NA
Alepocephalus rostratus,France,1.1227672618340439
Alepocephalus rostratus,Georgia,NA
Alepocephalus rostratus,Greece,NA
Alepocephalus rostratus,Israel,NA
Alepocephalus rostratus,Italy,NA
Alepocephalus rostratus,Lebanon,65.98472765317275
Alepocephalus rostratus,Libya,NA
Alepocephalus rostratus,Malta,NA
Alepocephalus rostratus,Monaco,NA
Alepocephalus rostratus,Montenegro,100
Alepocephalus rostratus,Morocco,10.744241893505611
Alepocephalus rostratus,Romania,NA
Alepocephalus rostratus,Russia,NA
Alepocephalus rostratus,Slovenia,NA
Alepocephalus rostratus,Spain,0.6523868795743909
Alepocephalus rostratus,Syria,NA
Alepocephalus rostratus,Tunisia,9.759521963113452
Alepocephalus rostratus,Turkey,NA
Alepocephalus rostratus,Ukraine,6.0877809722070175
Alopias superciliosus,Albania,NA
Alopias superciliosus,Algeria,7.3000804548131235
Alopias superciliosus,Bosnia and Herzegovina,8.247627165649442
Alopias superciliosus,Bulgaria,NA
Alopias superciliosus,Croatia,NA
Alopias superciliosus,Cyprus,19.523358800005806
Alopias superciliosus,Egypt,NA
Alopias superciliosus,France,NA
Alopias superciliosus,Georgia,7.975800425184556
Alopias superciliosus,Greece,1.7079148894111722
Alopias superciliosus,Israel,5.387148373538683
Alopias superciliosus,Italy,0.731808920448114
